ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
SMc01298	50S ribosomal protein L24(rplX)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR003256:Ribosomal protein L24,IPR005824:KOW,IPR005825:Ribosomal protein L24/L26, conserved site,IPR008991:Translation protein SH3-like domain,IPR014722:Ribosomal protein L2 domain 2,		SM00739:KOW,					KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		DOMAIN:KOW,
SMc01308	50S ribosomal protein L4(rplD)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR002136:Ribosomal protein L4/L1e,IPR013005:Ribosomal protein L4/L1e, bacterial-type,IPR023574:Ribosomal protein L4 domain,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		REGION:Disordered,
SMc01294	50S ribosomal protein L6(rplF)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000702:Ribosomal protein L6,IPR002358:Ribosomal protein L6, conserved site,IPR019906:Ribosomal protein L6, bacterial-type,IPR020040:Ribosomal protein L6, alpha-beta domain,	PIRSF002162:ribosomal protein, L6p/L6a/L9e/organellar L9 types,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		DOMAIN:Ribosomal_L6,
SMc01318	50S ribosomal protein L7/L12(rplL)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,	IPR000206:Ribosomal protein L7/L12,IPR008932:Ribosomal protein L7/L12, oligomerisation,IPR013823:Ribosomal protein L7/L12, C-terminal,IPR014719:Ribosomal protein L7/L12, C-terminal/adaptor protein ClpS-like,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		DOMAIN:Ribosomal_L12,DOMAIN:Ribosomal_L12_N,
SMc00565	50S ribosomal protein L9(rplI)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000244:Ribosomal protein L9,IPR009027:Ribosomal protein L9/RNase H1, N-terminal,IPR020069:Ribosomal protein L9, C-terminal,IPR020070:Ribosomal protein L9, N-terminal,IPR020594:Ribosomal protein L9, bacteria/chloroplast,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		DOMAIN:RIBOSOMAL_L9,REGION:Disordered,
SMc00147	AB hydrolase-1 domain-containing protein(SMc00147)	Sinorhizobium meliloti 1021				IPR000073:Alpha/beta hydrolase fold-1,									DOMAIN:AB hydrolase-1,
SMc00175	ABC transporter ATP-binding protein(SM2011_RS23720)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,					KW-0378~Hydrolase,		DOMAIN:ABC transporter,NP_BIND:ATP,
SM_b20941	ABC transporter ATP-binding protein/permease(SM2011_RS11895)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR011527:ABC transporter, transmembrane domain, type 1,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0762~Sugar transport,KW-0813~Transport,	KW-0472~Membrane,	KW-0812~Transmembrane,		KW-0378~Hydrolase,		DOMAIN:ABC transmembrane type-1,DOMAIN:ABC transporter,NP_BIND:ATP,TRANSMEM:Helical,
SMc00185	ABC transporter ATP-binding protein/permease(SM2011_RS23660)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR011527:ABC transporter, transmembrane domain, type 1,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0762~Sugar transport,KW-0813~Transport,	KW-0472~Membrane,	KW-0812~Transmembrane,		KW-0378~Hydrolase,		DOMAIN:ABC transmembrane type-1,DOMAIN:ABC transporter,NP_BIND:ATP,TRANSMEM:Helical,
SM_b21204	ABC transporter permease(C770_RS29265)	Sinorhizobium meliloti GR4	GO:0055085~transmembrane transport,	GO:0043190~ATP-binding cassette (ABC) transporter complex,		IPR000412:ABC-2,				KW-0472~Membrane,KW-0997~Cell inner membrane,KW-1003~Cell membrane,					TRANSMEM:Helical,
SM_b21204	ABC transporter permease(SM2011_RS10965)	Sinorhizobium meliloti 2011	GO:0055085~transmembrane transport,	GO:0043190~ATP-binding cassette (ABC) transporter complex,		IPR000412:ABC-2,				KW-0472~Membrane,KW-0997~Cell inner membrane,KW-1003~Cell membrane,					TRANSMEM:Helical,
SM_b21205	ABC transporter permease(SM2011_RS10970)	Sinorhizobium meliloti 2011	GO:0055085~transmembrane transport,	GO:0043190~ATP-binding cassette (ABC) transporter complex,		IPR000412:ABC-2,				KW-0472~Membrane,KW-0997~Cell inner membrane,KW-1003~Cell membrane,					TRANSMEM:Helical,
SM_b21196	ABC transporter substrate-binding protein(C770_RS29310)	Sinorhizobium meliloti GR4	GO:0055085~transmembrane transport,	GO:0042597~periplasmic space,GO:0043190~ATP-binding cassette (ABC) transporter complex,		IPR000914:Bacterial extracellular solute-binding protein, family 5,	PIRSF002741:peptide binding protein, MppA type,			KW-0574~Periplasm,	KW-0732~Signal,				DOMAIN:SBP_bac_5,
SMc04293	ABC transporter substrate-binding protein(SM2011_RS24305)	Sinorhizobium meliloti 2011	GO:0055085~transmembrane transport,	GO:0042597~periplasmic space,GO:0043190~ATP-binding cassette (ABC) transporter complex,		IPR000914:Bacterial extracellular solute-binding protein, family 5,IPR023765:Bacterial extracellular solute-binding protein, family 5, conserved site,	PIRSF002741:peptide binding protein, MppA type,			KW-0574~Periplasm,	KW-0732~Signal,				DOMAIN:SBP_bac_5,
SMc00590	ABC-F family ATP-binding cassette domain-containing protein(SM2011_RS20220)	Sinorhizobium meliloti 2011			GO:0003677~DNA binding,GO:0005524~ATP binding,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,			KW-0175~Coiled coil,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			DOMAIN:ABC transporter,NP_BIND:ATP,REGION:Disordered,
SMc04297	ANTAR domain-containing response regulator(SM2011_RS24320)	Sinorhizobium meliloti 2011			GO:0003723~RNA binding,	IPR005561:ANTAR domain,IPR008327:Signal transduction response regulator, antiterminator,IPR011006:CheY-like superfamily,	PIRSF036382:response regulator antiterminator,	SM01012:SM01012,							DOMAIN:ANTAR,
SM_b21206	ATP-binding cassette domain-containing protein(SM2011_RS10975)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,							DOMAIN:ABC transporter,NP_BIND:ATP,
SMc01903	ATP-dependent Clp endopeptidase proteolytic subunit ClpP(clpP)	Sinorhizobium meliloti 2011		GO:0005737~cytoplasm,	GO:0004176~ATP-dependent peptidase activity,GO:0004252~serine-type endopeptidase activity,	IPR001907:ClpP,IPR018215:ClpP, active site,IPR023562:Clp protease proteolytic subunit /Translocation-enhancing protein TepA,				KW-0963~Cytoplasm,			KW-0378~Hydrolase,KW-0645~Protease,KW-0720~Serine protease,		ACT_SITE:Nucleophile,
SMc02694	ATP-dependent Clp protease adapter ClpS(clpS)	Sinorhizobium meliloti 2011	GO:0006508~proteolysis,GO:0030163~protein catabolic process,			IPR003769:Adaptor protein ClpS, core,IPR014719:Ribosomal protein L7/L12, C-terminal/adaptor protein ClpS-like,IPR022935:ATP-dependent Clp protease adaptor protein ClpS,
SMc02433	ATP-dependent chaperone ClpB(clpB)	Sinorhizobium meliloti 2011	GO:0009408~response to heat,GO:0042026~protein refolding,	GO:0005737~cytoplasm,	GO:0005524~ATP binding,GO:0008233~peptidase activity,	IPR001270:Chaperonin ClpA/B,IPR003593:AAA+ ATPase domain,IPR003959:ATPase, AAA-type, core,IPR004176:Clp, N-terminal,IPR017730:Chaperonin ClpB,IPR018368:Chaperonin ClpA/B, conserved site,IPR019489:Clp ATPase, C-terminal,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,SM01086:SM01086,	KW-0346~Stress response,	KW-0963~Cytoplasm,	KW-0175~Coiled coil,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0143~Chaperone,KW-0378~Hydrolase,KW-0645~Protease,		DOMAIN:Clp R,NP_BIND:ATP 1,NP_BIND:ATP 2,REGION:C-terminal,REGION:Linker,REGION:NBD1,REGION:NBD2,REGION:Repeat 1,REGION:Repeat 2,
SM_b20759	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG(phnG)	Sinorhizobium meliloti 1021	GO:0015716~organic phosphonate transport,GO:0019634~organic phosphonate metabolic process,		GO:0061693~alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity,	IPR009609:Phosphonate metabolism PhnG,							KW-0808~Transferase,
SMc00277	Aminotran_5 domain-containing protein(SMc00277)	Sinorhizobium meliloti 1021			GO:0003824~catalytic activity,	IPR000192:Aminotransferase, class V/Cysteine desulfurase,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,						KW-0663~Pyridoxal phosphate,			DOMAIN:Aminotran_5,
SM_b20838	Calcium binding protein(SM_b20838)	Sinorhizobium meliloti 1021			GO:0005509~calcium ion binding,	IPR001343:Haemolysin-type calcium-binding repeat,IPR011049:Serralysin-like metalloprotease, C-terminal,IPR018511:Hemolysin-type calcium-binding conserved site,
SMc01465	CreA family protein(SM2011_RS25315)	Sinorhizobium meliloti 2011				IPR010292:Uncharacterised protein family CreA,	PIRSF003174:protein CreA,				KW-0732~Signal,
SMc01188	D-alanyl-D-alanine carboxypeptidase(SM2011_RS22510)	Sinorhizobium meliloti 2011	GO:0008360~regulation of cell shape,GO:0009252~peptidoglycan biosynthetic process,GO:0071555~cell wall organization,	GO:0016021~integral component of membrane,	GO:0009002~serine-type D-Ala-D-Ala carboxypeptidase activity,	IPR001967:Peptidase S11, D-alanyl-D-alanine carboxypeptidase A, N-terminal,IPR012338:Beta-lactamase/transpeptidase-like,IPR012907:Peptidase S11, D-Ala-D-Ala carboxypeptidase A, C-terminal,IPR015956:Penicillin-binding protein-associated,IPR018044:Peptidase S11, D-alanyl-D-alanine carboxypeptidase A,		SM00936:SM00936,	KW-0133~Cell shape,KW-0573~Peptidoglycan synthesis,KW-0961~Cell wall biogenesis/degradation,KW-9998~Cell wall biogenesis/degradation,	KW-0472~Membrane,	KW-0732~Signal,KW-0812~Transmembrane,		KW-0378~Hydrolase,KW-0645~Protease,		DOMAIN:PBP5_C,
SMc01190	DNA polymerase III subunit delta'(SM2011_RS22500)	Sinorhizobium meliloti 2011			GO:0003887~DNA-directed DNA polymerase activity,	IPR027417:P-loop containing nucleoside triphosphate hydrolase,							KW-0548~Nucleotidyltransferase,KW-0808~Transferase,
SMc00995	DUF1489 family protein(SM2011_RS21515)	Sinorhizobium meliloti 2011				IPR008320:Uncharacterised conserved protein UCP032025,	PIRSF032025:uncharacterized conserved protein,
SMc00942	DUF2188 domain-containing protein(SM2011_RS22690)	Sinorhizobium meliloti 2011				IPR018691:Protein of unknown function DUF2188,
SMc01008	DUF2267 domain-containing protein(SM2011_RS21585)	Sinorhizobium meliloti 2011				IPR018727:Protein of unknown function DUF2267,
SMc00167	DUF2865 domain-containing protein(SM2011_RS23760)	Sinorhizobium meliloti 2011				IPR021293:Protein of unknown function DUF2865,					KW-0175~Coiled coil,KW-0732~Signal,				REGION:Disordered,
SMc01432	DUF87 domain-containing protein(SM2011_RS25145)	Sinorhizobium meliloti 2011				IPR002789:Domain of unknown function DUF87,IPR008571:Protein of unknown function DUF853, nucleotide triphosphate hydrolase, putative,IPR027417:P-loop containing nucleoside triphosphate hydrolase,									COMPBIAS:Basic and acidic residues,DOMAIN:DUF87,REGION:Disordered,
SMc02123	DUF934 domain-containing protein(SM2011_RS21830)	Sinorhizobium meliloti 2011				IPR008318:Uncharacterised conserved protein UCP030820,	PIRSF030820:uncharacterized conserved protein,
SM_b21296	DUF982 domain-containing protein(SM2011_RS10630)	Sinorhizobium meliloti 2011				IPR010385:Protein of unknown function DUF982,
SMc01280	DegQ family serine endoprotease(SM2011_RS21380)	Sinorhizobium meliloti 2011		GO:0042597~periplasmic space,	GO:0004252~serine-type endopeptidase activity,GO:0008233~peptidase activity,	IPR001478:PDZ domain,IPR001940:Peptidase S1C,IPR009003:Trypsin-like cysteine/serine peptidase domain,IPR011782:Peptidase S1C, Do,		SM00228:PDZ,	KW-0346~Stress response,		KW-0677~Repeat,KW-0732~Signal,		KW-0378~Hydrolase,KW-0645~Protease,KW-0720~Serine protease,		ACT_SITE:Charge relay system,DOMAIN:PDZ,
SMc00952	DsbA family protein(SM2011_RS22740)	Sinorhizobium meliloti 2011			GO:0016491~oxidoreductase activity,GO:0016853~isomerase activity,	IPR001853:DSBA-like thioredoxin domain,							KW-0413~Isomerase,		DOMAIN:DSBA,
SMc00038	EAL domain-containing protein(SM2011_RS19200)	Sinorhizobium meliloti 2011				IPR000014:PAS domain,IPR000160:GGDEF domain,IPR000700:PAS-associated, C-terminal,IPR001633:Diguanylate phosphodiesterase, EAL domain,IPR003018:GAF domain,IPR012226:Oxygen sensor diguanylate cyclase/c-di-GMP phosphodiesterase,IPR013656:PAS fold-4,	PIRSF005925:oxygen sensor diguanylate cyclase/c-di-GMP phosphodiesterase,	SM00052:DUF2,SM00065:GAF,SM00267:DUF1,			KW-0175~Coiled coil,				DOMAIN:EAL,DOMAIN:GGDEF,DOMAIN:PAC,
SMc04204	FecR family protein(SM2011_RS24720)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,		IPR006860:FecR protein,IPR012373:Fe(2+)-dicitrate sensor, transmembrane component,	PIRSF018266:Fe(2+)-dicitrate sensor, transmembrane component,			KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:DUF4880,DOMAIN:FecR,TRANSMEM:Helical,
