ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE												
SMc01296	30S ribosomal protein S14(rpsN)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR001209:Ribosomal protein S14,IPR018271:Ribosomal protein S14, conserved site,IPR023036:Ribosomal protein S14, bacterial/plastid,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,														
SMc03859	30S ribosomal protein S16(rpsP)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,	IPR000307:Ribosomal protein S16,IPR023803:Ribosomal protein S16 domain,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		REGION:Disordered,												
SMc01300	30S ribosomal protein S17(rpsQ)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000266:Ribosomal protein S17,IPR012340:Nucleic acid-binding, OB-fold,IPR019984:Ribosomal protein S17, bacterial-type,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,														
SMc00567	30S ribosomal protein S18(rpsR)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR001648:Ribosomal protein S18,IPR018275:Ribosomal protein S18, conserved site,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,														
SMc01305	30S ribosomal protein S19(rpsS)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015935~small ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR002222:Ribosomal protein S19/S15,IPR005732:Ribosomal protein S19, bacterial-type,IPR020934:Ribosomal protein S19 conserved site,IPR023575:Ribosomal protein S19, superfamily,	PIRSF002144:ribosomal protein, S19p/S19a/S15e/organellar S19 types,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,														
SMc01303	30S ribosomal protein S3(rpsC)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003729~mRNA binding,GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR001351:Ribosomal protein S3, C-terminal,IPR004044:K Homology domain, type 2,IPR004087:K Homology domain,IPR005704:Ribosomal protein S3, bacterial,IPR009019:K homology domain, prokaryotic type,IPR015946:K homology domain-like, alpha/beta,IPR018280:Ribosomal protein S3, conserved site,		SM00322:KH,					KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		DOMAIN:KH type-2,REGION:Disordered,												
SMc01292	30S ribosomal protein S5(rpsE)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015935~small ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000851:Ribosomal protein S5,IPR005324:Ribosomal protein S5, C-terminal,IPR005712:Ribosomal protein S5, bacterial-type,IPR013810:Ribosomal protein S5, N-terminal,IPR014721:Ribosomal protein S5 domain 2-type fold, subgroup,IPR018192:Ribosomal protein S5, N-terminal, conserved site,IPR020568:Ribosomal protein S5 domain 2-type fold,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		DOMAIN:S5 DRBM,												
SMc00568	30S ribosomal protein S6(rpsF)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000529:Ribosomal protein S6,IPR014717:Translation elongation factor EF1B/ribosomal protein S6,IPR020814:Ribosomal protein S6, plastid/chloroplast,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		COMPBIAS:Basic and acidic residues,REGION:Disordered,												
SMc01313	30S ribosomal protein S7(rpsG)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015935~small ribosomal subunit,	GO:0000049~tRNA binding,GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000235:Ribosomal protein S5/S7,IPR005717:Ribosomal protein S7, bacterial/organellar-type,IPR020606:Ribosomal protein S7, conserved site,IPR023798:Ribosomal protein S7 domain,	PIRSF002122:ribosomal protein, S7p/S7a/S5e/organellar S7 types,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,KW-0820~tRNA-binding,		DOMAIN:Ribosomal_S7,												
SMc01295	30S ribosomal protein S8(rpsH)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000630:Ribosomal protein S8,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,														
SMc00320	30S ribosome-binding factor RbfA(rbfA)	Sinorhizobium meliloti 2011	GO:0030490~maturation of SSU-rRNA,	GO:0005737~cytoplasm,		IPR000238:Ribosome-binding factor A,IPR015946:K homology domain-like, alpha/beta,IPR020053:Ribosome-binding factor A, conserved site,IPR023799:Ribosome-binding factor A domain,			KW-0690~Ribosome biogenesis,	KW-0963~Cytoplasm,																	
SMc03211	4-hydroxyphenylpyruvate dioxygenase(hppD)	Sinorhizobium meliloti 2011	GO:0009072~aromatic amino acid family metabolic process,		GO:0003868~4-hydroxyphenylpyruvate dioxygenase activity,GO:0046872~metal ion binding,	IPR004360:Glyoxalase/fosfomycin resistance/dioxygenase domain,IPR005956:4-hydroxyphenylpyruvate dioxygenase,	PIRSF009283:4-hydroxyphenylpyruvate dioxygenase,				KW-0677~Repeat,	KW-0408~Iron,KW-0670~Pyruvate,	KW-0223~Dioxygenase,KW-0560~Oxidoreductase,		DOMAIN:VOC,METAL:Iron,												
SMc03104	5-aminolevulinate synthase(hemA)	Sinorhizobium meliloti 2011	GO:0006782~protoporphyrinogen IX biosynthetic process,		GO:0003870~5-aminolevulinate synthase activity,GO:0030170~pyridoxal phosphate binding,	IPR001917:Aminotransferase, class-II, pyridoxal-phosphate binding site,IPR004839:Aminotransferase, class I/classII,IPR010961:Tetrapyrrole biosynthesis, 5-aminolevulinic acid synthase,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,			KW-0350~Heme biosynthesis,			KW-0663~Pyridoxal phosphate,	KW-0012~Acyltransferase,KW-0808~Transferase,		BINDING:Pyridoxal phosphate,BINDING:Pyridoxal phosphate	 shared with dimeric partner,BINDING:Substrate,DOMAIN:Aminotran_1_2,											
SM_b21285	5-hydroxyisourate hydrolase 1(C770_RS29655)	Sinorhizobium meliloti GR4	GO:0006144~purine nucleobase metabolic process,		GO:0033971~hydroxyisourate hydrolase activity,	IPR000895:Transthyretin/hydroxyisourate hydrolase,IPR014306:Hydroxyisourate hydrolase,IPR023416:Transthyretin/hydroxyisourate hydrolase, superfamily,IPR023418:Transthyretin, thyroxine binding site,IPR023419:Transthyretin, conserved site,			KW-0659~Purine metabolism,				KW-0378~Hydrolase,		BINDING:Substrate,DOMAIN:TR_THY,												
SMc01320	50S ribosomal protein L1(rplA)	Sinorhizobium meliloti 1021	GO:0006412~translation,GO:0006417~regulation of translation,	GO:0015934~large ribosomal subunit,	GO:0000049~tRNA binding,GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR002143:Ribosomal protein L1,IPR005878:Ribosomal protein L1, bacterial-type,IPR016095:Ribosomal protein L1, 3-layer alpha/beta-sandwich,IPR023673:Ribosomal protein L1, conserved site,IPR023674:Ribosomal protein L1, superfamily,	PIRSF002155:ribosomal protein, L1p/L1a/L10e/organellar L1 types,		KW-0810~Translation regulation,				KW-0678~Repressor,KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,KW-0820~tRNA-binding,														
SMc01319	50S ribosomal protein L10(rplJ)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015934~large ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0070180~large ribosomal subunit rRNA binding,	IPR001790:Ribosomal protein L10/acidic P0,IPR002363:Ribosomal protein L10, eubacterial, conserved site,IPR022973:Ribosomal protein L10,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,														
SMc01321	50S ribosomal protein L11(rplK)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0070180~large ribosomal subunit rRNA binding,	IPR000911:Ribosomal protein L11,IPR006519:Ribosomal protein L11, bacterial-type,IPR020783:Ribosomal protein L11, C-terminal,IPR020784:Ribosomal protein L11, N-terminal,		SM00649:RL11,					KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,	KW-0488~Methylation,	DOMAIN:Ribosomal_L11,DOMAIN:Ribosomal_L11_N,												
SMc01804	50S ribosomal protein L13(rplM)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,	IPR005822:Ribosomal protein L13,IPR005823:Ribosomal protein L13, bacterial-type,	PIRSF002181:ribosomal protein, L13p/L13Aa/L16e/organellar L13 types,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,														
SMc01299	50S ribosomal protein L14(rplN)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015934~large ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000218:Ribosomal protein L14b/L23e,IPR005745:Ribosomal protein L14, bacterial-type,IPR019972:Ribosomal protein L14 conserved site,		SM01374:SM01374,					KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,														
SMc01283	50S ribosomal protein L17(rplQ)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,	IPR000456:Ribosomal protein L17,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,														
SMc01293	50S ribosomal protein L18(rplR)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR004389:Ribosomal protein L18, bacterial-type,IPR005484:Ribosomal protein L18/L5,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,														
SMc01304	50S ribosomal protein L22(rplV)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015934~large ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR001063:Ribosomal protein L22/L17,IPR005727:Ribosomal protein L22, bacterial/chloroplast-type,IPR018260:Ribosomal protein L22/L17, conserved site,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,														
SMc01307	50S ribosomal protein L23(SM2011_RS21250)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR012677:Nucleotide-binding, alpha-beta plait,IPR012678:Ribosomal protein L23/L15e core domain,IPR013025:Ribosomal protein L25/L23,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,														
SMc02692	50S ribosomal protein L25/general stress protein Ctc(SM2011_RS26360)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0008097~5S rRNA binding,	IPR001021:Ribosomal protein L25, long-form,IPR011035:Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain,IPR020056:Ribosomal protein L25/Gln-tRNA synthetase, beta-barrel domain,IPR020057:Ribosomal protein L25, beta domain,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		DOMAIN:Ribosomal_TL5_C,REGION:Disordered,												
SMc01301	50S ribosomal protein L29(rpmC)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,	IPR001854:Ribosomal protein L29,IPR018254:Ribosomal protein L29, conserved site,					KW-0175~Coiled coil,		KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,														
SMc01309	50S ribosomal protein L3(rplC)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000597:Ribosomal protein L3,IPR009000:Translation elongation/initiation factor/Ribosomal, beta-barrel,IPR019926:Ribosomal protein L3, conserved site,IPR019927:Ribosomal protein L3, bacterial/organelle-type,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,	KW-0488~Methylation,													
SMc01291	50S ribosomal protein L30(rpmD)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015934~large ribosomal subunit,	GO:0003735~structural constituent of ribosome,	IPR005996:Ribosomal protein L30, bacterial-type,IPR016082:Ribosomal protein L30, ferredoxin-like fold domain,	PIRSF002211:ribosomal protein L30p,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		DOMAIN:Ribosomal_L30,												
SMc03881	50S ribosomal protein L32(rpmF)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015934~large ribosomal subunit,	GO:0003735~structural constituent of ribosome,	IPR002677:Ribosomal protein L32p,IPR011332:Ribosomal protein, zinc-binding domain,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		REGION:Disordered,												
SMc01308	50S ribosomal protein L4(rplD)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR002136:Ribosomal protein L4/L1e,IPR013005:Ribosomal protein L4/L1e, bacterial-type,IPR023574:Ribosomal protein L4 domain,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		REGION:Disordered,												
SMc01297	50S ribosomal protein L5(rplE)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0000049~tRNA binding,GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR002132:Ribosomal protein L5,IPR020929:Ribosomal protein L5, conserved site,IPR020930:Ribosomal protein L5, bacterial-type,IPR022803:Ribosomal protein L5 domain,	PIRSF002161:ribosomal protein, L5p/L5a/L11e/organellar L5 types,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,KW-0820~tRNA-binding,		DOMAIN:Ribosomal_L5,DOMAIN:Ribosomal_L5_C,												
SMc00565	50S ribosomal protein L9(rplI)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000244:Ribosomal protein L9,IPR009027:Ribosomal protein L9/RNase H1, N-terminal,IPR020069:Ribosomal protein L9, C-terminal,IPR020070:Ribosomal protein L9, N-terminal,IPR020594:Ribosomal protein L9, bacteria/chloroplast,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		DOMAIN:RIBOSOMAL_L9,REGION:Disordered,												
SMc00147	AB hydrolase-1 domain-containing protein(SMc00147)	Sinorhizobium meliloti 1021				IPR000073:Alpha/beta hydrolase fold-1,									DOMAIN:AB hydrolase-1,												
SMc04288	ABC transporter ATP-binding protein(SM2011_RS24295)	Sinorhizobium meliloti 2011	GO:0015833~peptide transport,	GO:0005886~plasma membrane,	GO:0005524~ATP binding,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR013563:Oligopeptide/dipeptide ABC transporter, C-terminal,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,							DOMAIN:ABC transporter,NP_BIND:ATP,												
SMc04300	ABC transporter ATP-binding protein(SM2011_RS24835)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR015853:ABC transporter, ferric cation import, FbpC,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,					DOMAIN:ABC transporter,NP_BIND:ATP,												
SM_b21191	ABC transporter ATP-binding protein/permease(SM2011_RS10910)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0005524~ATP binding,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR011527:ABC transporter, transmembrane domain, type 1,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,		KW-0472~Membrane,	KW-0812~Transmembrane,				DOMAIN:ABC transmembrane type-1,DOMAIN:ABC transporter,NP_BIND:ATP,TRANSMEM:Helical,												
SMa0863	ABC transporter permease(SM2011_RS02390)	Sinorhizobium meliloti 2011	GO:0015772~oligosaccharide transport,	GO:0043190~ATP-binding cassette (ABC) transporter complex,	GO:0022857~transmembrane transporter activity,	IPR000412:ABC-2,IPR005981:ABC-2 type transporter, NodJ,IPR013525:ABC-2 type transporter,	PIRSF006648:ABC-type transport system, permease component, DrrB type,		KW-0536~Nodulation,KW-0813~Transport,	KW-0472~Membrane,KW-0997~Cell inner membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				DOMAIN:ABC transmembrane type-2,DOMAIN:ABC2_membrane,TRANSMEM:Helical,												
SMa1122	ABC transporter permease(SM2011_RS03055)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR003838:Permease FtsX-like,				KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,				DOMAIN:FtsX,TRANSMEM:Helical,												
SMa1185	ABC transporter permease(SM2011_RS03235)	Sinorhizobium meliloti 2011	GO:0055085~transmembrane transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,						KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,												
SMc01634	ABC transporter permease(SM2011_RS25815)	Sinorhizobium meliloti 2011	GO:0055085~transmembrane transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR000515:Binding-protein-dependent transport systems inner membrane component,			KW-0813~Transport,	KW-0472~Membrane,					DOMAIN:ABC transmembrane type-1,TRANSMEM:Helical,												
SMc03829	ABC transporter permease(SM2011_RS30765)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0022857~transmembrane transporter activity,	IPR001851:ABC transporter, permease,				KW-0472~Membrane,KW-1003~Cell membrane,	KW-0812~Transmembrane,				TRANSMEM:Helical,												
SM_b20660	ABC transporter substrate-binding protein(C770_RS26985)	Sinorhizobium meliloti GR4		GO:0042597~periplasmic space,		IPR006059:Bacterial extracellular solute-binding, family 1,IPR006311:Twin-arginine translocation pathway, signal sequence,IPR019546:Twin-arginine translocation pathway, signal sequence, bacterial/archaeal,			KW-0813~Transport,	KW-0574~Periplasm,	KW-0732~Signal,																
SMa1379	ABC transporter substrate-binding protein(SM2011_RS03805)	Sinorhizobium meliloti 2011	GO:0055085~transmembrane transport,	GO:0042597~periplasmic space,GO:0043190~ATP-binding cassette (ABC) transporter complex,		IPR000914:Bacterial extracellular solute-binding protein, family 5,IPR023765:Bacterial extracellular solute-binding protein, family 5, conserved site,	PIRSF002741:peptide binding protein, MppA type,			KW-0574~Periplasm,	KW-0732~Signal,				DOMAIN:SBP_bac_5,												
SMa2000	ABC transporter substrate-binding protein(SM2011_RS05520)	Sinorhizobium meliloti 2011				IPR025997:Periplasmic binding protein domain,					KW-0732~Signal,				DOMAIN:Peripla_BP_4,												
SM_b20660	ABC transporter substrate-binding protein(SM2011_RS13305)	Sinorhizobium meliloti 2011		GO:0042597~periplasmic space,		IPR006059:Bacterial extracellular solute-binding, family 1,IPR006311:Twin-arginine translocation pathway, signal sequence,IPR019546:Twin-arginine translocation pathway, signal sequence, bacterial/archaeal,			KW-0813~Transport,	KW-0574~Periplasm,	KW-0732~Signal,																
SMc04293	ABC transporter substrate-binding protein(SM2011_RS24305)	Sinorhizobium meliloti 2011	GO:0055085~transmembrane transport,	GO:0042597~periplasmic space,GO:0043190~ATP-binding cassette (ABC) transporter complex,		IPR000914:Bacterial extracellular solute-binding protein, family 5,IPR023765:Bacterial extracellular solute-binding protein, family 5, conserved site,	PIRSF002741:peptide binding protein, MppA type,			KW-0574~Periplasm,	KW-0732~Signal,				DOMAIN:SBP_bac_5,												
