ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE							
SinmeB_0990	30S ribosomal protein S3(rpsC)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003729~mRNA binding,GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR001351:Ribosomal protein S3, C-terminal,IPR004044:K Homology domain, type 2,IPR004087:K Homology domain,IPR005704:Ribosomal protein S3, bacterial,IPR009019:K homology domain, prokaryotic type,IPR015946:K homology domain-like, alpha/beta,IPR018280:Ribosomal protein S3, conserved site,		SM00322:KH,					KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		DOMAIN:KH type-2,REGION:Disordered,							
SinmeB_1001	30S ribosomal protein S5(rpsE)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015935~small ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000851:Ribosomal protein S5,IPR005324:Ribosomal protein S5, C-terminal,IPR005712:Ribosomal protein S5, bacterial-type,IPR013810:Ribosomal protein S5, N-terminal,IPR014721:Ribosomal protein S5 domain 2-type fold, subgroup,IPR018192:Ribosomal protein S5, N-terminal, conserved site,IPR020568:Ribosomal protein S5 domain 2-type fold,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		DOMAIN:S5 DRBM,							
SinmeB_0980	30S ribosomal protein S7(rpsG)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015935~small ribosomal subunit,	GO:0000049~tRNA binding,GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000235:Ribosomal protein S5/S7,IPR005717:Ribosomal protein S7, bacterial/organellar-type,IPR020606:Ribosomal protein S7, conserved site,IPR023798:Ribosomal protein S7 domain,	PIRSF002122:ribosomal protein, S7p/S7a/S5e/organellar S7 types,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,KW-0820~tRNA-binding,		DOMAIN:Ribosomal_S7,							
SinmeB_2772	4-hydroxyphenylpyruvate dioxygenase(hppD)	Sinorhizobium meliloti 2011	GO:0009072~aromatic amino acid family metabolic process,		GO:0003868~4-hydroxyphenylpyruvate dioxygenase activity,GO:0046872~metal ion binding,	IPR004360:Glyoxalase/fosfomycin resistance/dioxygenase domain,IPR005956:4-hydroxyphenylpyruvate dioxygenase,	PIRSF009283:4-hydroxyphenylpyruvate dioxygenase,				KW-0677~Repeat,	KW-0408~Iron,KW-0670~Pyruvate,	KW-0223~Dioxygenase,KW-0560~Oxidoreductase,		DOMAIN:VOC,METAL:Iron,							
SinmeB_1165	5'/3'-nucleotidase SurE(surE)	Sinorhizobium meliloti 2011		GO:0005737~cytoplasm,	GO:0000166~nucleotide binding,GO:0008253~5'-nucleotidase activity,GO:0046872~metal ion binding,	IPR002828:Survival protein SurE-like phosphatase/nucleotidase,				KW-0963~Cytoplasm,		KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,		DOMAIN:SurE,METAL:Divalent metal cation,							
SinmeB_2817	5-aminolevulinate synthase(hemA)	Sinorhizobium meliloti 2011	GO:0006782~protoporphyrinogen IX biosynthetic process,		GO:0003870~5-aminolevulinate synthase activity,GO:0030170~pyridoxal phosphate binding,	IPR001917:Aminotransferase, class-II, pyridoxal-phosphate binding site,IPR004839:Aminotransferase, class I/classII,IPR010961:Tetrapyrrole biosynthesis, 5-aminolevulinic acid synthase,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,			KW-0350~Heme biosynthesis,			KW-0663~Pyridoxal phosphate,	KW-0012~Acyltransferase,KW-0808~Transferase,		BINDING:Pyridoxal phosphate,BINDING:Pyridoxal phosphate	 shared with dimeric partner,BINDING:Substrate,DOMAIN:Aminotran_1_2,						
SinmeB_3457	5-deoxy-glucuronate isomerase(iolB)	Sinorhizobium meliloti 2011	GO:0019310~inositol catabolic process,		GO:0008880~glucuronate isomerase activity,	IPR011051:RmlC-like cupin domain,IPR014710:RmlC-like jelly roll fold,IPR021120:KduI/IolB isomerase,IPR024203:5-deoxy-glucuronate isomerase, IolB,	PIRSF036628:myo-inositol catabolism protein IolB,						KW-0413~Isomerase,									
SinmeB_3875	5-hydroxyisourate hydrolase 1(C770_RS29655)	Sinorhizobium meliloti GR4	GO:0006144~purine nucleobase metabolic process,		GO:0033971~hydroxyisourate hydrolase activity,	IPR000895:Transthyretin/hydroxyisourate hydrolase,IPR014306:Hydroxyisourate hydrolase,IPR023416:Transthyretin/hydroxyisourate hydrolase, superfamily,IPR023418:Transthyretin, thyroxine binding site,IPR023419:Transthyretin, conserved site,			KW-0659~Purine metabolism,				KW-0378~Hydrolase,		BINDING:Substrate,DOMAIN:TR_THY,							
SinmeB_1977	50S ribosomal protein L11 methyltransferase(SM2011_RS25355)	Sinorhizobium meliloti 2011		GO:0005737~cytoplasm,GO:0005840~ribosome,	GO:0008276~protein methyltransferase activity,	IPR004498:Ribosomal protein L11 methyltransferase,	PIRSF000401:ribosomal protein L11 methyltransferase,			KW-0963~Cytoplasm,		KW-0949~S-adenosyl-L-methionine,	KW-0489~Methyltransferase,KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0808~Transferase,		BINDING:S-adenosyl-L-methionine,BINDING:S-adenosyl-L-methionine	 via carbonyl oxygen,						
SinmeB_0991	50S ribosomal protein L16(rplP)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0000049~tRNA binding,GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000114:Ribosomal protein L16,IPR016180:Ribosomal protein L10e/L16,IPR020798:Ribosomal protein L16, conserved site,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,KW-0820~tRNA-binding,		DOMAIN:Ribosomal_L16,							
SinmeB_1000	50S ribosomal protein L18(rplR)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR004389:Ribosomal protein L18, bacterial-type,IPR005484:Ribosomal protein L18/L5,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,									
SinmeB_0987	50S ribosomal protein L2(rplB)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015934~large ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0016740~transferase activity,GO:0019843~rRNA binding,	IPR002171:Ribosomal protein L2,IPR005880:Ribosomal protein L2, bacterial/organellar-type,IPR008991:Translation protein SH3-like domain,IPR012340:Nucleic acid-binding, OB-fold,IPR014722:Ribosomal protein L2 domain 2,IPR014726:Ribosomal protein L2, domain 3,IPR022666:Ribosomal Proteins L2, RNA binding domain,IPR022669:Ribosomal protein L2, C-terminal,IPR022671:Ribosomal protein L2, conserved site,	PIRSF002158:ribosomal protein, L2p/L2a/L8e/organellar L2 types,	SM01382:SM01382,SM01383:SM01383,					KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		DOMAIN:Ribosomal_L2_C,REGION:Disordered,							
SinmeB_0989	50S ribosomal protein L22(rplV)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015934~large ribosomal subunit,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR001063:Ribosomal protein L22/L17,IPR005727:Ribosomal protein L22, bacterial/chloroplast-type,IPR018260:Ribosomal protein L22/L17, conserved site,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,									
SinmeB_0992	50S ribosomal protein L29(rpmC)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,	IPR001854:Ribosomal protein L29,IPR018254:Ribosomal protein L29, conserved site,					KW-0175~Coiled coil,		KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,									
SinmeB_1002	50S ribosomal protein L30(rpmD)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0015934~large ribosomal subunit,	GO:0003735~structural constituent of ribosome,	IPR005996:Ribosomal protein L30, bacterial-type,IPR016082:Ribosomal protein L30, ferredoxin-like fold domain,	PIRSF002211:ribosomal protein L30p,						KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		DOMAIN:Ribosomal_L30,							
SinmeB_0974	50S ribosomal protein L7/L12(rplL)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,	IPR000206:Ribosomal protein L7/L12,IPR008932:Ribosomal protein L7/L12, oligomerisation,IPR013823:Ribosomal protein L7/L12, C-terminal,IPR014719:Ribosomal protein L7/L12, C-terminal/adaptor protein ClpS-like,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,		DOMAIN:Ribosomal_L12,DOMAIN:Ribosomal_L12_N,							
SinmeB_0759	50S ribosomal protein L9(rplI)	Sinorhizobium meliloti 2011	GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000244:Ribosomal protein L9,IPR009027:Ribosomal protein L9/RNase H1, N-terminal,IPR020069:Ribosomal protein L9, C-terminal,IPR020070:Ribosomal protein L9, N-terminal,IPR020594:Ribosomal protein L9, bacteria/chloroplast,							KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,		DOMAIN:RIBOSOMAL_L9,REGION:Disordered,							
SinmeB_0541	A/G-specific adenine glycosylase(mutY)	Sinorhizobium meliloti 2011	GO:0006284~base-excision repair,		GO:0000701~purine-specific mismatch base pair DNA N-glycosylase activity,GO:0003677~DNA binding,GO:0046872~metal ion binding,GO:0051539~4 iron, 4 sulfur cluster binding,	IPR000445:Helix-hairpin-helix motif,IPR003265:HhH-GPD domain,IPR004035:Endonuclease III, iron-sulphur binding site,IPR004036:Endonuclease III, conserved site-2,IPR005760:A/G-specific adenine glycosylase MutY, bacterial form,IPR011257:DNA glycosylase,IPR015797:NUDIX hydrolase domain-like,IPR023170:Helix-turn-helix, base-excision DNA repair, C-terminal,		SM00478:ENDO3c,	KW-0227~DNA damage,KW-0234~DNA repair,			KW-0004~4Fe-4S,KW-0408~Iron,KW-0411~Iron-sulfur,KW-0479~Metal-binding,	KW-0326~Glycosidase,KW-0378~Hydrolase,		DOMAIN:ENDO3c,							
SinmeB_6197	AAA family ATPase(SM2011_RS03460)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,	IPR011704:ATPase, dynein-related, AAA domain,IPR013615:CbbQ/NirQ/NorQ C-terminal,IPR027417:P-loop containing nucleoside triphosphate hydrolase,									DOMAIN:AAA_5,DOMAIN:CbbQ_C,							
SinmeB_5659	AAA family ATPase(SM2011_RS05685)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,	IPR003593:AAA+ ATPase domain,IPR010624:KaiC domain,IPR014774:Circadian clock protein KaiC/DNA repair protein RadA,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,			KW-0175~Coiled coil,KW-0677~Repeat,		KW-0418~Kinase,KW-0723~Serine/threonine-protein kinase,KW-0808~Transferase,		DOMAIN:KaiC,							
SinmeB_2221	AAA family ATPase(SM2011_RS26560)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,	IPR003959:ATPase, AAA-type, core,IPR027417:P-loop containing nucleoside triphosphate hydrolase,					KW-0175~Coiled coil,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			DOMAIN:ATPase_AAA_core,							
SinmeB_5548	ABC transporter ATP-binding protein(C770_RS24915)	Sinorhizobium meliloti GR4			GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,					KW-0378~Hydrolase,		DOMAIN:ABC transporter,NP_BIND:ATP,							
SinmeB_4802	ABC transporter ATP-binding protein(C770_RS26700)	Sinorhizobium meliloti GR4			GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,					KW-0378~Hydrolase,		DOMAIN:ABC transporter,NP_BIND:ATP,							
SinmeB_4388	ABC transporter ATP-binding protein(SM2011_RS07950)	Sinorhizobium meliloti 2011		GO:0043190~ATP-binding cassette (ABC) transporter complex,	GO:0005524~ATP binding,GO:0015417~polyamine-transporting ATPase activity,GO:0016787~hydrolase activity,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR005893:Spermidine/putrescine ABC transporter, ATP-binding subunit,IPR008995:Molybdate/tungstate binding, C-terminal,IPR013611:Transport-associated OB, type 2,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0813~Transport,	KW-0472~Membrane,			KW-0378~Hydrolase,KW-1278~Translocase,		DOMAIN:ABC transporter,NP_BIND:ATP,							
SinmeB_4967	ABC transporter ATP-binding protein(SM2011_RS12790)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,					KW-0378~Hydrolase,		DOMAIN:ABC transporter,NP_BIND:ATP,							
SinmeB_0915	ABC transporter ATP-binding protein(SM2011_RS20885)	Sinorhizobium meliloti 2011	GO:0042953~lipoprotein transport,	GO:0005886~plasma membrane,	GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR015854:ABC transporter, lipoprotein release, LolD,IPR017871:ABC transporter, conserved site,IPR017911:ABC transporter, macrolide export, ATP-binding domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0813~Transport,	KW-0472~Membrane,KW-0997~Cell inner membrane,KW-1003~Cell membrane,		KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,KW-1278~Translocase,	KW-0449~Lipoprotein,	DOMAIN:ABC transporter,NP_BIND:ATP,							
SinmeB_1160	ABC transporter ATP-binding protein(SM2011_RS22110)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,	GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR008995:Molybdate/tungstate binding, C-terminal,IPR015853:ABC transporter, ferric cation import, FbpC,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,			KW-0378~Hydrolase,		DOMAIN:ABC transporter,NP_BIND:ATP,							
SinmeB_1416	ABC transporter ATP-binding protein(SM2011_RS22870)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,					KW-0378~Hydrolase,		DOMAIN:ABC transporter,NP_BIND:ATP,							
SinmeB_1582	ABC transporter ATP-binding protein(SM2011_RS23720)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,					KW-0378~Hydrolase,		DOMAIN:ABC transporter,NP_BIND:ATP,							
SinmeB_1638	ABC transporter ATP-binding protein(SM2011_RS23995)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,					KW-0378~Hydrolase,		DOMAIN:ABC transporter,NP_BIND:ATP,							
SinmeB_2044	ABC transporter ATP-binding protein(SM2011_RS25685)	Sinorhizobium meliloti 2011		GO:0043190~ATP-binding cassette (ABC) transporter complex,	GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR008995:Molybdate/tungstate binding, C-terminal,IPR013611:Transport-associated OB, type 2,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0813~Transport,				KW-0378~Hydrolase,		DOMAIN:ABC transporter,NP_BIND:ATP,							
SinmeB_2089	ABC transporter ATP-binding protein(SM2011_RS25910)	Sinorhizobium meliloti 2011		GO:0043190~ATP-binding cassette (ABC) transporter complex,	GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR008995:Molybdate/tungstate binding, C-terminal,IPR013611:Transport-associated OB, type 2,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0813~Transport,				KW-0378~Hydrolase,		DOMAIN:ABC transporter,NP_BIND:ATP,							
SinmeB_2327	ABC transporter ATP-binding protein(SM2011_RS27090)	Sinorhizobium meliloti 2011		GO:0043190~ATP-binding cassette (ABC) transporter complex,	GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR008995:Molybdate/tungstate binding, C-terminal,IPR013611:Transport-associated OB, type 2,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0813~Transport,				KW-0378~Hydrolase,		DOMAIN:ABC transporter,NP_BIND:ATP,							
SinmeB_3605	ABC transporter ATP-binding protein/permease(SM2011_RS11895)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR011527:ABC transporter, transmembrane domain, type 1,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0762~Sugar transport,KW-0813~Transport,	KW-0472~Membrane,	KW-0812~Transmembrane,		KW-0378~Hydrolase,		DOMAIN:ABC transmembrane type-1,DOMAIN:ABC transporter,NP_BIND:ATP,TRANSMEM:Helical,							
SinmeB_0744	ABC transporter ATP-binding protein/permease(SM2011_RS20025)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR011527:ABC transporter, transmembrane domain, type 1,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0762~Sugar transport,KW-0813~Transport,	KW-0472~Membrane,	KW-0812~Transmembrane,		KW-0378~Hydrolase,		DOMAIN:ABC transmembrane type-1,DOMAIN:ABC transporter,NP_BIND:ATP,TRANSMEM:Helical,							
SinmeB_1570	ABC transporter ATP-binding protein/permease(SM2011_RS23655)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR011527:ABC transporter, transmembrane domain, type 1,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0762~Sugar transport,KW-0813~Transport,	KW-0472~Membrane,	KW-0812~Transmembrane,		KW-0378~Hydrolase,		DOMAIN:ABC transmembrane type-1,DOMAIN:ABC transporter,NP_BIND:ATP,TRANSMEM:Helical,							
SinmeB_1571	ABC transporter ATP-binding protein/permease(SM2011_RS23660)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR011527:ABC transporter, transmembrane domain, type 1,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,	KW-0762~Sugar transport,KW-0813~Transport,	KW-0472~Membrane,	KW-0812~Transmembrane,		KW-0378~Hydrolase,		DOMAIN:ABC transmembrane type-1,DOMAIN:ABC transporter,NP_BIND:ATP,TRANSMEM:Helical,							
